candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
1,2026-02-19T05:30:00.931968+00:00,btc-updown-5m-1771478700,"Bitcoin Up or Down - February 19, 12:25AM-12:30AM ET",05:25:00 UTC,05:30:00 UTC,66735.36,66741.53,6.17,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
2,2026-02-19T05:40:00.722888+00:00,btc-updown-5m-1771479300,"Bitcoin Up or Down - February 19, 12:35AM-12:40AM ET",05:35:00 UTC,05:40:00 UTC,66774.01,66789.34,15.33,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
3,2026-02-19T05:50:00.575105+00:00,btc-updown-5m-1771479900,"Bitcoin Up or Down - February 19, 12:45AM-12:50AM ET",05:45:00 UTC,05:50:00 UTC,66774.70,66808.96,34.26,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
4,2026-02-19T06:00:00.420527+00:00,btc-updown-5m-1771480500,"Bitcoin Up or Down - February 19, 12:55AM-1:00AM ET",05:55:00 UTC,06:00:00 UTC,66859.12,66871.35,12.23,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
5,2026-02-19T06:10:00.234343+00:00,btc-updown-5m-1771481100,"Bitcoin Up or Down - February 19, 1:05AM-1:10AM ET",06:05:00 UTC,06:10:00 UTC,66948.07,66952.65,4.58,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
6,2026-02-19T06:20:00.163753+00:00,btc-updown-5m-1771481700,"Bitcoin Up or Down - February 19, 1:15AM-1:20AM ET",06:15:00 UTC,06:20:00 UTC,66993.70,67123.21,129.51,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
7,2026-02-19T06:30:00.964406+00:00,btc-updown-5m-1771482300,"Bitcoin Up or Down - February 19, 1:25AM-1:30AM ET",06:25:00 UTC,06:30:00 UTC,67197.72,67176.84,-20.88,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
8,2026-02-19T06:40:00.791476+00:00,btc-updown-5m-1771482900,"Bitcoin Up or Down - February 19, 1:35AM-1:40AM ET",06:35:00 UTC,06:40:00 UTC,67138.07,67137.91,-0.16,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
9,2026-02-19T06:50:00.639665+00:00,btc-updown-5m-1771483500,"Bitcoin Up or Down - February 19, 1:45AM-1:50AM ET",06:45:00 UTC,06:50:00 UTC,67104.83,67138.00,33.17,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
10,2026-02-19T07:00:00.530010+00:00,btc-updown-5m-1771484100,"Bitcoin Up or Down - February 19, 1:55AM-2:00AM ET",06:55:00 UTC,07:00:00 UTC,67172.11,67150.12,-21.99,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
11,2026-02-19T07:10:00.357477+00:00,btc-updown-5m-1771484700,"Bitcoin Up or Down - February 19, 2:05AM-2:10AM ET",07:05:00 UTC,07:10:00 UTC,67100.33,67071.92,-28.41,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
12,2026-02-19T07:20:00.185566+00:00,btc-updown-5m-1771485300,"Bitcoin Up or Down - February 19, 2:15AM-2:20AM ET",07:15:00 UTC,07:20:00 UTC,67141.74,67175.78,34.04,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
13,2026-02-19T07:30:00.022417+00:00,btc-updown-5m-1771485900,"Bitcoin Up or Down - February 19, 2:25AM-2:30AM ET",07:25:00 UTC,07:30:00 UTC,67208.06,67213.02,4.96,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
14,2026-02-19T07:40:00.842040+00:00,btc-updown-5m-1771486500,"Bitcoin Up or Down - February 19, 2:35AM-2:40AM ET",07:35:00 UTC,07:40:00 UTC,67214.04,67188.92,-25.12,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
15,2026-02-19T07:50:00.647148+00:00,btc-updown-5m-1771487100,"Bitcoin Up or Down - February 19, 2:45AM-2:50AM ET",07:45:00 UTC,07:50:00 UTC,67193.45,67198.01,4.56,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
16,2026-02-19T08:00:00.471005+00:00,btc-updown-5m-1771487700,"Bitcoin Up or Down - February 19, 2:55AM-3:00AM ET",07:55:00 UTC,08:00:00 UTC,67217.50,67196.57,-20.93,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
17,2026-02-19T08:10:00.344674+00:00,btc-updown-5m-1771488300,"Bitcoin Up or Down - February 19, 3:05AM-3:10AM ET",08:05:00 UTC,08:10:00 UTC,67150.07,67100.20,-49.87,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
18,2026-02-19T08:20:00.220865+00:00,btc-updown-5m-1771488900,"Bitcoin Up or Down - February 19, 3:15AM-3:20AM ET",08:15:00 UTC,08:20:00 UTC,67062.92,67099.99,37.07,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
19,2026-02-19T08:30:00.136676+00:00,btc-updown-5m-1771489500,"Bitcoin Up or Down - February 19, 3:25AM-3:30AM ET",08:25:00 UTC,08:30:00 UTC,66962.69,66914.43,-48.26,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
20,2026-02-19T08:40:00.169764+00:00,btc-updown-5m-1771490100,"Bitcoin Up or Down - February 19, 3:35AM-3:40AM ET",08:35:00 UTC,08:40:00 UTC,66844.50,66937.89,93.39,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
21,2026-02-19T08:50:00.050556+00:00,btc-updown-5m-1771490700,"Bitcoin Up or Down - February 19, 3:45AM-3:50AM ET",08:45:00 UTC,08:50:00 UTC,66928.67,66898.68,-29.99,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
22,2026-02-19T09:00:00.039793+00:00,btc-updown-5m-1771491300,"Bitcoin Up or Down - February 19, 3:55AM-4:00AM ET",08:55:00 UTC,09:00:00 UTC,66889.17,66966.12,76.95,UP,SKIP_THIN_BOOK,,0.9400,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
23,2026-02-19T09:10:00.008052+00:00,btc-updown-5m-1771491900,"Bitcoin Up or Down - February 19, 4:05AM-4:10AM ET",09:05:00 UTC,09:10:00 UTC,66886.63,67006.70,120.07,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
24,2026-02-19T09:20:00.933835+00:00,btc-updown-5m-1771492500,"Bitcoin Up or Down - February 19, 4:15AM-4:20AM ET",09:15:00 UTC,09:20:00 UTC,67019.53,67019.69,0.16,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
