candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
1,2026-02-20T22:10:01.148421+00:00,btc-updown-5m-1771625100,"Bitcoin Up or Down - February 20, 5:05PM-5:10PM ET",67788.81,67740.00,-48.81,DOWN,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0,67788.81,0.00
2,2026-02-20T22:20:01.136997+00:00,btc-updown-5m-1771625700,"Bitcoin Up or Down - February 20, 5:15PM-5:20PM ET",67659.40,67777.03,117.63,UP,SKIP_EXPENSIVE,,0.7600,0.00,False,0.0000,0.00,0.0000,10.0000,0.0,67698.99,39.59
3,2026-02-20T22:30:01.145162+00:00,btc-updown-5m-1771626300,"Bitcoin Up or Down - February 20, 5:25PM-5:30PM ET",67976.00,67936.48,-39.52,DOWN,SKIP_EXPENSIVE,,0.7400,0.00,False,0.0000,0.00,0.0000,10.0000,0.0,67925.89,-50.11
4,2026-02-20T22:40:01.128153+00:00,btc-updown-5m-1771626900,"Bitcoin Up or Down - February 20, 5:35PM-5:40PM ET",67979.66,67990.52,10.86,UP,BUY_UP,UP,0.5000,5.00,True,5.0000,100.00,5.0000,15.0000,100.0,67999.43,19.77
5,2026-02-20T22:50:01.139373+00:00,btc-updown-5m-1771627500,"Bitcoin Up or Down - February 20, 5:45PM-5:50PM ET",67963.75,68013.40,49.65,UP,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,5.0000,15.0000,100.0,67963.75,0.00
6,2026-02-20T23:00:01.138430+00:00,btc-updown-5m-1771628100,"Bitcoin Up or Down - February 20, 5:55PM-6:00PM ET",68049.95,68072.31,22.36,UP,BUY_UP,UP,0.5000,5.00,True,5.0000,100.00,10.0000,20.0000,100.0,68049.96,0.01
7,2026-02-20T23:10:01.138085+00:00,btc-updown-5m-1771628700,"Bitcoin Up or Down - February 20, 6:05PM-6:10PM ET",68116.50,68072.30,-44.20,DOWN,SKIP_EXPENSIVE,,0.6100,0.00,False,0.0000,0.00,10.0000,20.0000,100.0,68141.78,25.28
8,2026-02-20T23:20:01.138852+00:00,btc-updown-5m-1771629300,"Bitcoin Up or Down - February 20, 6:15PM-6:20PM ET",68026.40,67990.51,-35.89,DOWN,BUY_DOWN,DOWN,0.5200,5.00,True,4.6154,92.31,14.6154,24.6154,100.0,68026.39,-0.01
9,2026-02-20T23:30:01.130180+00:00,btc-updown-5m-1771629900,"Bitcoin Up or Down - February 20, 6:25PM-6:30PM ET",67975.19,67996.47,21.28,UP,BUY_UP,UP,0.5700,5.00,True,3.7719,75.44,18.3873,28.3873,100.0,67984.01,8.82
10,2026-02-20T23:40:01.141351+00:00,btc-updown-5m-1771630500,"Bitcoin Up or Down - February 20, 6:35PM-6:40PM ET",67975.49,67914.00,-61.49,DOWN,BUY_UP,UP,0.5800,5.00,False,-5.0000,-100.00,13.3873,23.3873,80.0,67979.99,4.50
11,2026-02-20T23:50:01.136575+00:00,btc-updown-5m-1771631100,"Bitcoin Up or Down - February 20, 6:45PM-6:50PM ET",67975.91,67968.04,-7.87,DOWN,SKIP_EXPENSIVE,,0.7200,0.00,False,0.0000,0.00,13.3873,23.3873,80.0,68005.07,29.16
12,2026-02-21T00:00:01.131453+00:00,btc-updown-5m-1771631700,"Bitcoin Up or Down - February 20, 6:55PM-7:00PM ET",68016.97,68022.77,5.80,UP,BUY_UP,UP,0.5300,5.00,True,4.4340,88.68,17.8213,27.8213,83.3,68019.26,2.29
13,2026-02-21T00:10:01.137881+00:00,btc-updown-5m-1771632300,"Bitcoin Up or Down - February 20, 7:05PM-7:10PM ET",68010.60,67976.86,-33.74,DOWN,BUY_DOWN,DOWN,0.5400,5.00,True,4.2593,85.19,22.0805,32.0805,85.7,68006.28,-4.32
14,2026-02-21T00:20:01.142999+00:00,btc-updown-5m-1771632900,"Bitcoin Up or Down - February 20, 7:15PM-7:20PM ET",68017.36,67951.25,-66.11,DOWN,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,22.0805,32.0805,85.7,68017.36,0.00
15,2026-02-21T00:30:01.136041+00:00,btc-updown-5m-1771633500,"Bitcoin Up or Down - February 20, 7:25PM-7:30PM ET",67964.32,67920.34,-43.98,DOWN,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,22.0805,32.0805,85.7,67950.00,-14.32
16,2026-02-21T00:40:01.134861+00:00,btc-updown-5m-1771634100,"Bitcoin Up or Down - February 20, 7:35PM-7:40PM ET",67897.87,67910.41,12.54,UP,BUY_UP,UP,0.6000,5.00,True,3.3333,66.67,25.4139,35.4139,87.5,67902.60,4.73
17,2026-02-21T00:50:01.124560+00:00,btc-updown-5m-1771634700,"Bitcoin Up or Down - February 20, 7:45PM-7:50PM ET",67840.67,67843.11,2.44,UP,SKIP_EXPENSIVE,,0.6500,0.00,False,0.0000,0.00,25.4139,35.4139,87.5,67858.63,17.96
18,2026-02-21T01:00:01.146021+00:00,btc-updown-5m-1771635300,"Bitcoin Up or Down - February 20, 7:55PM-8:00PM ET",67870.45,67842.00,-28.45,DOWN,SKIP_EXPENSIVE,,0.6900,0.00,False,0.0000,0.00,25.4139,35.4139,87.5,67846.00,-24.45
19,2026-02-21T01:10:01.139900+00:00,btc-updown-5m-1771635900,"Bitcoin Up or Down - February 20, 8:05PM-8:10PM ET",67884.53,67899.02,14.49,UP,BUY_DOWN,DOWN,0.5500,5.00,False,-5.0000,-100.00,20.4139,30.4139,77.8,67884.40,-0.13
