candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
1,2026-02-22T19:05:01.131751+00:00,btc-updown-5m-1771786800,"Bitcoin Up or Down - February 22, 2:00PM-2:05PM ET",67422.62,67469.54,46.92,UP,BUY_UP,UP,0.6000,5.00,True,3.3333,66.67,3.3333,13.3333,100.0,67428.31,5.69
2,2026-02-22T19:15:01.133534+00:00,btc-updown-5m-1771787400,"Bitcoin Up or Down - February 22, 2:10PM-2:15PM ET",67483.99,67416.33,-67.66,DOWN,SKIP_EXPENSIVE,,0.6700,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67470.51,-13.48
3,2026-02-22T19:25:01.142112+00:00,btc-updown-5m-1771788000,"Bitcoin Up or Down - February 22, 2:20PM-2:25PM ET",67431.72,67447.08,15.36,UP,SKIP_EXPENSIVE,,0.6200,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67437.30,5.58
4,2026-02-22T19:35:01.135540+00:00,btc-updown-5m-1771788600,"Bitcoin Up or Down - February 22, 2:30PM-2:35PM ET",67433.58,67469.24,35.66,UP,SKIP_EXPENSIVE,,0.7200,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67414.46,-19.12
5,2026-02-22T19:45:01.131977+00:00,btc-updown-5m-1771789200,"Bitcoin Up or Down - February 22, 2:40PM-2:45PM ET",67470.20,67472.56,2.36,UP,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67470.20,0.00
6,2026-02-22T19:55:01.125551+00:00,btc-updown-5m-1771789800,"Bitcoin Up or Down - February 22, 2:50PM-2:55PM ET",67453.90,67439.70,-14.20,DOWN,SKIP_EXPENSIVE,,0.6800,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67467.66,13.76
7,2026-02-22T20:05:01.140171+00:00,btc-updown-5m-1771790400,"Bitcoin Up or Down - February 22, 3:00PM-3:05PM ET",67428.32,67406.25,-22.07,DOWN,SKIP_EXPENSIVE,,0.6800,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67413.26,-15.06
8,2026-02-22T20:15:01.135789+00:00,btc-updown-5m-1771791000,"Bitcoin Up or Down - February 22, 3:10PM-3:15PM ET",67423.70,67399.45,-24.25,DOWN,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67423.70,0.00
9,2026-02-22T20:25:01.132791+00:00,btc-updown-5m-1771791600,"Bitcoin Up or Down - February 22, 3:20PM-3:25PM ET",67436.99,67462.00,25.01,UP,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,3.3333,13.3333,100.0,67436.99,0.00
10,2026-02-22T20:35:01.133428+00:00,btc-updown-5m-1771792200,"Bitcoin Up or Down - February 22, 3:30PM-3:35PM ET",67450.56,67422.59,-27.97,DOWN,BUY_DOWN,DOWN,0.5100,5.00,True,4.8039,96.08,8.1373,18.1373,100.0,67442.59,-7.97
11,2026-02-22T20:45:01.119511+00:00,btc-updown-5m-1771792800,"Bitcoin Up or Down - February 22, 3:40PM-3:45PM ET",67429.15,67422.65,-6.50,DOWN,SKIP_EXPENSIVE,,0.6600,0.00,False,0.0000,0.00,8.1373,18.1373,100.0,67421.22,-7.93
12,2026-02-22T20:55:01.146101+00:00,btc-updown-5m-1771793400,"Bitcoin Up or Down - February 22, 3:50PM-3:55PM ET",67466.37,67372.00,-94.37,DOWN,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,8.1373,18.1373,100.0,67451.81,-14.56
13,2026-02-22T21:05:01.150866+00:00,btc-updown-5m-1771794000,"Bitcoin Up or Down - February 22, 4:00PM-4:05PM ET",67401.74,67466.79,65.05,UP,SKIP_EXPENSIVE,,0.7000,0.00,False,0.0000,0.00,8.1373,18.1373,100.0,67419.82,18.08
14,2026-02-22T21:15:01.144560+00:00,btc-updown-5m-1771794600,"Bitcoin Up or Down - February 22, 4:10PM-4:15PM ET",67450.80,67447.93,-2.87,DOWN,SKIP_EXPENSIVE,,0.6800,0.00,False,0.0000,0.00,8.1373,18.1373,100.0,67463.05,12.25
15,2026-02-22T21:25:01.132962+00:00,btc-updown-5m-1771795200,"Bitcoin Up or Down - February 22, 4:20PM-4:25PM ET",67482.58,67476.72,-5.86,DOWN,SKIP_EXPENSIVE,,0.6300,0.00,False,0.0000,0.00,8.1373,18.1373,100.0,67473.93,-8.65
16,2026-02-22T21:35:01.122142+00:00,btc-updown-5m-1771795800,"Bitcoin Up or Down - February 22, 4:30PM-4:35PM ET",67458.45,67521.29,62.84,UP,BUY_UP,UP,0.5400,5.00,True,4.2593,85.19,12.3965,22.3965,100.0,67458.57,0.12
17,2026-02-22T21:45:01.130568+00:00,btc-updown-5m-1771796400,"Bitcoin Up or Down - February 22, 4:40PM-4:45PM ET",67617.24,67591.14,-26.10,DOWN,SKIP_EXPENSIVE,,0.7500,0.00,False,0.0000,0.00,12.3965,22.3965,100.0,67599.49,-17.75
18,2026-02-22T21:55:01.135018+00:00,btc-updown-5m-1771797000,"Bitcoin Up or Down - February 22, 4:50PM-4:55PM ET",67600.75,67618.01,17.26,UP,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,12.3965,22.3965,100.0,67600.75,0.00
19,2026-02-22T22:05:01.143766+00:00,btc-updown-5m-1771797600,"Bitcoin Up or Down - February 22, 5:00PM-5:05PM ET",67612.66,67579.15,-33.51,DOWN,BUY_DOWN,DOWN,0.5500,5.00,True,4.0909,81.82,16.4874,26.4874,100.0,67612.65,-0.01
20,2026-02-22T22:15:01.118080+00:00,btc-updown-5m-1771798200,"Bitcoin Up or Down - February 22, 5:10PM-5:15PM ET",67506.85,67510.40,3.55,UP,BUY_DOWN,DOWN,0.5300,5.00,False,-5.0000,-100.00,11.4874,21.4874,80.0,67506.84,-0.01
21,2026-02-22T22:25:01.145425+00:00,btc-updown-5m-1771798800,"Bitcoin Up or Down - February 22, 5:20PM-5:25PM ET",67532.77,67609.39,76.62,UP,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,11.4874,21.4874,80.0,67542.11,9.34
22,2026-02-22T22:35:01.128184+00:00,btc-updown-5m-1771799400,"Bitcoin Up or Down - February 22, 5:30PM-5:35PM ET",67594.09,67615.21,21.12,UP,SKIP_EXPENSIVE,,0.7300,0.00,False,0.0000,0.00,11.4874,21.4874,80.0,67563.65,-30.44
23,2026-02-22T22:45:01.135408+00:00,btc-updown-5m-1771800000,"Bitcoin Up or Down - February 22, 5:40PM-5:45PM ET",67581.04,67679.27,98.23,UP,BUY_UP,UP,0.4500,5.00,True,6.1111,122.22,17.5985,27.5985,83.3,67581.84,0.80
24,2026-02-22T22:55:01.131074+00:00,btc-updown-5m-1771800600,"Bitcoin Up or Down - February 22, 5:50PM-5:55PM ET",67687.50,67743.40,55.90,UP,SKIP_THIN_BOOK,,0.4500,0.00,False,0.0000,0.00,17.5985,27.5985,83.3,67687.51,0.01
25,2026-02-22T23:05:01.134054+00:00,btc-updown-5m-1771801200,"Bitcoin Up or Down - February 22, 6:00PM-6:05PM ET",67666.17,67660.70,-5.47,DOWN,BUY_UP,UP,0.5600,5.00,False,-5.0000,-100.00,12.5985,22.5985,71.4,67686.66,20.49
26,2026-02-22T23:15:01.110445+00:00,btc-updown-5m-1771801800,"Bitcoin Up or Down - February 22, 6:10PM-6:15PM ET",67580.48,67500.00,-80.48,DOWN,BUY_UP,UP,0.5700,5.00,False,-5.0000,-100.00,7.5985,17.5985,62.5,67582.01,1.53
27,2026-02-22T23:25:01.119428+00:00,btc-updown-5m-1771802400,"Bitcoin Up or Down - February 22, 6:20PM-6:25PM ET",67515.77,67589.41,73.64,UP,BUY_UP,UP,0.5600,5.00,True,3.9286,78.57,11.5271,21.5271,66.7,67518.00,2.23
28,2026-02-22T23:35:01.135547+00:00,btc-updown-5m-1771803000,"Bitcoin Up or Down - February 22, 6:30PM-6:35PM ET",67606.64,67573.22,-33.42,DOWN,SKIP_EXPENSIVE,,0.6900,0.00,False,0.0000,0.00,11.5271,21.5271,66.7,67579.38,-27.26
29,2026-02-22T23:45:01.142394+00:00,btc-updown-5m-1771803600,"Bitcoin Up or Down - February 22, 6:40PM-6:45PM ET",67551.23,67513.24,-37.99,DOWN,BUY_UP,UP,0.5800,5.00,False,-5.0000,-100.00,6.5271,16.5271,60.0,67559.63,8.40
