candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,rsi,ema_signal,macd_signal,bb_signal,consensus_score,confidence
1,2026-02-20T18:55:00.149934+00:00,btc-updown-5m-1771613400,"Bitcoin Up or Down - February 20, 1:50PM-1:55PM ET",18:50:00 UTC,18:55:00 UTC,67782.39,67828.31,45.92,UP,SKIP_NO_CONSENSUS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0,53.0,1,-1,0,0,
2,2026-02-20T19:05:00.120541+00:00,btc-updown-5m-1771614000,"Bitcoin Up or Down - February 20, 2:00PM-2:05PM ET",19:00:00 UTC,19:05:00 UTC,67924.22,67707.99,-216.23,DOWN,BUY_UP,UP,0.5100,1.50,False,-1.5000,-100.00,-1.5000,8.5000,0.0,58.7,1,1,0,2,LOW
3,2026-02-20T19:15:00.116134+00:00,btc-updown-5m-1771614600,"Bitcoin Up or Down - February 20, 2:10PM-2:15PM ET",19:10:00 UTC,19:15:00 UTC,67797.33,67709.07,-88.26,DOWN,BUY_DOWN,DOWN,0.4700,1.50,True,1.6915,112.77,0.1915,10.1915,50.0,49.6,-1,-1,0,-2,LOW
4,2026-02-20T19:25:00.155999+00:00,btc-updown-5m-1771615200,"Bitcoin Up or Down - February 20, 2:20PM-2:25PM ET",19:20:00 UTC,19:25:00 UTC,67724.75,67729.09,4.34,UP,BUY_DOWN,DOWN,0.5700,1.50,False,-1.5000,-100.00,-1.3085,8.6915,33.3,47.5,-1,-1,0,-2,LOW
5,2026-02-20T19:35:00.155755+00:00,btc-updown-5m-1771615800,"Bitcoin Up or Down - February 20, 2:30PM-2:35PM ET",19:30:00 UTC,19:35:00 UTC,67625.23,67782.69,157.46,UP,BUY_DOWN,DOWN,0.3600,1.50,False,-1.5000,-100.00,-2.8085,7.1915,25.0,41.0,-1,-1,0,-2,LOW
6,2026-02-20T19:45:00.167199+00:00,btc-updown-5m-1771616400,"Bitcoin Up or Down - February 20, 2:40PM-2:45PM ET",19:40:00 UTC,19:45:00 UTC,67762.85,67610.60,-152.25,DOWN,BUY_UP,UP,0.4100,1.50,False,-1.5000,-100.00,-4.3085,5.6915,20.0,48.6,1,1,0,2,LOW
8,2026-02-20T19:55:00.132195+00:00,btc-updown-5m-1771617000,"Bitcoin Up or Down - February 20, 2:50PM-2:55PM ET",19:50:00 UTC,19:55:00 UTC,67578.18,67656.84,78.66,UP,BUY_DOWN,DOWN,0.4900,1.50,False,-1.5000,-100.00,-5.8085,4.1915,16.7,37.2,-1,-1,0,-2,LOW
13,2026-02-20T20:05:00.145157+00:00,btc-updown-5m-1771617600,"Bitcoin Up or Down - February 20, 3:00PM-3:05PM ET",20:00:00 UTC,20:05:00 UTC,67646.03,67694.66,48.63,UP,SKIP_NO_CONSENSUS,,0.0000,0.00,False,0.0000,0.00,-5.8085,4.1915,16.7,47.2,-1,1,0,0,
17,2026-02-20T20:15:00.126677+00:00,btc-updown-5m-1771618200,"Bitcoin Up or Down - February 20, 3:10PM-3:15PM ET",20:10:00 UTC,20:15:00 UTC,67766.77,67816.34,49.57,UP,BUY_UP,UP,0.4900,1.50,True,1.5612,104.08,-4.2473,5.7527,28.6,58.2,1,1,0,2,LOW
18,2026-02-20T20:25:00.131030+00:00,btc-updown-5m-1771618800,"Bitcoin Up or Down - February 20, 3:20PM-3:25PM ET",20:20:00 UTC,20:25:00 UTC,67738.81,67662.75,-76.06,DOWN,SKIP_NO_CONSENSUS,,0.0000,0.00,False,0.0000,0.00,-4.2473,5.7527,28.6,48.7,1,-1,0,0,
19,2026-02-20T20:35:00.123357+00:00,btc-updown-5m-1771619400,"Bitcoin Up or Down - February 20, 3:30PM-3:35PM ET",20:30:00 UTC,20:35:00 UTC,67573.36,67574.01,0.65,UP,BUY_DOWN,DOWN,0.4800,1.50,False,-1.5000,-100.00,-5.7473,4.2527,25.0,37.9,-1,-1,0,-2,LOW
23,2026-02-20T20:45:00.137179+00:00,btc-updown-5m-1771620000,"Bitcoin Up or Down - February 20, 3:40PM-3:45PM ET",20:40:00 UTC,20:45:00 UTC,67679.24,67734.00,54.76,UP,SKIP_NO_CONSENSUS,,0.0000,0.00,False,0.0000,0.00,-5.7473,4.2527,25.0,57.3,-1,1,-1,-1,
27,2026-02-20T20:55:00.151847+00:00,btc-updown-5m-1771620600,"Bitcoin Up or Down - February 20, 3:50PM-3:55PM ET",20:50:00 UTC,20:55:00 UTC,67708.00,67682.15,-25.85,DOWN,BUY_UP,UP,0.5900,1.50,False,-1.5000,-100.00,-7.2473,2.7527,22.2,55.4,1,1,0,2,LOW
31,2026-02-20T21:05:00.159346+00:00,btc-updown-5m-1771621200,"Bitcoin Up or Down - February 20, 4:00PM-4:05PM ET",21:00:00 UTC,21:05:00 UTC,67750.41,67664.57,-85.84,DOWN,BUY_UP,UP,0.3200,1.50,False,-1.5000,-100.00,-8.7473,1.2527,20.0,58.9,1,1,0,2,LOW
