candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
1,2026-02-19T05:35:00.198034+00:00,btc-updown-5m-1771479000,"Bitcoin Up or Down - February 19, 12:30AM-12:35AM ET",05:30:00 UTC,05:35:00 UTC,66741.53,66774.00,32.47,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
2,2026-02-19T05:45:00.027768+00:00,btc-updown-5m-1771479600,"Bitcoin Up or Down - February 19, 12:40AM-12:45AM ET",05:40:00 UTC,05:45:00 UTC,66789.34,66774.70,-14.64,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
3,2026-02-19T05:55:00.915758+00:00,btc-updown-5m-1771480200,"Bitcoin Up or Down - February 19, 12:50AM-12:55AM ET",05:50:00 UTC,05:55:00 UTC,66808.96,66859.11,50.15,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
4,2026-02-19T06:05:00.757427+00:00,btc-updown-5m-1771480800,"Bitcoin Up or Down - February 19, 1:00AM-1:05AM ET",06:00:00 UTC,06:05:00 UTC,66871.35,66941.94,70.59,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
5,2026-02-19T06:15:00.589839+00:00,btc-updown-5m-1771481400,"Bitcoin Up or Down - February 19, 1:10AM-1:15AM ET",06:10:00 UTC,06:15:00 UTC,66952.65,66993.71,41.06,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
6,2026-02-19T06:25:00.523038+00:00,btc-updown-5m-1771482000,"Bitcoin Up or Down - February 19, 1:20AM-1:25AM ET",06:20:00 UTC,06:25:00 UTC,67126.11,67197.72,71.61,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
7,2026-02-19T06:35:00.318059+00:00,btc-updown-5m-1771482600,"Bitcoin Up or Down - February 19, 1:30AM-1:35AM ET",06:30:00 UTC,06:35:00 UTC,67176.84,67138.07,-38.77,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
8,2026-02-19T06:45:00.129802+00:00,btc-updown-5m-1771483200,"Bitcoin Up or Down - February 19, 1:40AM-1:45AM ET",06:40:00 UTC,06:45:00 UTC,67137.91,67104.83,-33.08,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
9,2026-02-19T06:55:00.956760+00:00,btc-updown-5m-1771483800,"Bitcoin Up or Down - February 19, 1:50AM-1:55AM ET",06:50:00 UTC,06:55:00 UTC,67138.00,67172.12,34.12,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
10,2026-02-19T07:05:00.793737+00:00,btc-updown-5m-1771484400,"Bitcoin Up or Down - February 19, 2:00AM-2:05AM ET",07:00:00 UTC,07:05:00 UTC,67150.12,67100.33,-49.79,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
11,2026-02-19T07:15:00.690561+00:00,btc-updown-5m-1771485000,"Bitcoin Up or Down - February 19, 2:10AM-2:15AM ET",07:10:00 UTC,07:15:00 UTC,67071.92,67141.74,69.82,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
12,2026-02-19T07:25:00.527648+00:00,btc-updown-5m-1771485600,"Bitcoin Up or Down - February 19, 2:20AM-2:25AM ET",07:20:00 UTC,07:25:00 UTC,67175.78,67208.06,32.28,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
13,2026-02-19T07:35:00.348162+00:00,btc-updown-5m-1771486200,"Bitcoin Up or Down - February 19, 2:30AM-2:35AM ET",07:30:00 UTC,07:35:00 UTC,67213.03,67214.04,1.01,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
14,2026-02-19T07:45:00.173204+00:00,btc-updown-5m-1771486800,"Bitcoin Up or Down - February 19, 2:40AM-2:45AM ET",07:40:00 UTC,07:45:00 UTC,67188.92,67193.46,4.54,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
15,2026-02-19T07:55:00.987042+00:00,btc-updown-5m-1771487400,"Bitcoin Up or Down - February 19, 2:50AM-2:55AM ET",07:50:00 UTC,07:55:00 UTC,67200.23,67189.74,-10.49,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
16,2026-02-19T08:05:00.917435+00:00,btc-updown-5m-1771488000,"Bitcoin Up or Down - February 19, 3:00AM-3:05AM ET",08:00:00 UTC,08:05:00 UTC,67196.57,67150.07,-46.50,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
