candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
1,2026-02-20T18:50:00.015372+00:00,btc-updown-5m-1771613100,"Bitcoin Up or Down - February 20, 1:45PM-1:50PM ET",18:45:00 UTC,18:50:00 UTC,67791.67,67782.39,-9.28,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
2,2026-02-20T19:00:00.025851+00:00,btc-updown-5m-1771613700,"Bitcoin Up or Down - February 20, 1:55PM-2:00PM ET",18:55:00 UTC,19:00:00 UTC,67828.31,67924.22,95.91,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
3,2026-02-20T19:10:00.004680+00:00,btc-updown-5m-1771614300,"Bitcoin Up or Down - February 20, 2:05PM-2:10PM ET",19:05:00 UTC,19:10:00 UTC,67703.72,67790.82,87.10,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.0000,10.0000,0.0
4,2026-02-20T19:20:00.033404+00:00,btc-updown-5m-1771614900,"Bitcoin Up or Down - February 20, 2:15PM-2:20PM ET",19:15:00 UTC,19:20:00 UTC,67709.08,67724.75,15.67,UP,BUY_UP,UP,0.9100,5.00,True,0.4945,9.89,0.4945,10.4945,100.0
5,2026-02-20T19:30:00.021631+00:00,btc-updown-5m-1771615500,"Bitcoin Up or Down - February 20, 2:25PM-2:30PM ET",19:25:00 UTC,19:30:00 UTC,67729.09,67625.22,-103.87,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.4945,10.4945,100.0
6,2026-02-20T19:40:00.041449+00:00,btc-updown-5m-1771616100,"Bitcoin Up or Down - February 20, 2:35PM-2:40PM ET",19:35:00 UTC,19:40:00 UTC,67782.69,67762.85,-19.84,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.4945,10.4945,100.0
7,2026-02-20T19:50:00.009615+00:00,btc-updown-5m-1771616700,"Bitcoin Up or Down - February 20, 2:45PM-2:50PM ET",19:45:00 UTC,19:50:00 UTC,67612.30,67583.01,-29.29,DOWN,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,0.4945,10.4945,100.0
8,2026-02-20T20:00:00.028308+00:00,btc-updown-5m-1771617300,"Bitcoin Up or Down - February 20, 2:55PM-3:00PM ET",19:55:00 UTC,20:00:00 UTC,67656.84,67646.03,-10.81,DOWN,BUY_DOWN,DOWN,0.9300,5.00,True,0.3763,7.53,0.8708,10.8708,100.0
9,2026-02-20T20:10:00.003638+00:00,btc-updown-5m-1771617900,"Bitcoin Up or Down - February 20, 3:05PM-3:10PM ET",20:05:00 UTC,20:10:00 UTC,67694.66,67766.77,72.11,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
10,2026-02-20T20:20:00.007910+00:00,btc-updown-5m-1771618500,"Bitcoin Up or Down - February 20, 3:15PM-3:20PM ET",20:15:00 UTC,20:20:00 UTC,67814.13,67737.02,-77.11,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
