candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
1,2026-02-19T05:30:00.685192+00:00,btc-updown-5m-1771478700,"Bitcoin Up or Down - February 19, 12:25AM-12:30AM ET",05:25:00 UTC,05:30:00 UTC,66735.37,66741.52,6.15,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
2,2026-02-19T05:40:00.502847+00:00,btc-updown-5m-1771479300,"Bitcoin Up or Down - February 19, 12:35AM-12:40AM ET",05:35:00 UTC,05:40:00 UTC,66774.01,66789.34,15.33,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
3,2026-02-19T05:50:00.341156+00:00,btc-updown-5m-1771479900,"Bitcoin Up or Down - February 19, 12:45AM-12:50AM ET",05:45:00 UTC,05:50:00 UTC,66773.56,66808.96,35.40,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
4,2026-02-19T06:00:00.193974+00:00,btc-updown-5m-1771480500,"Bitcoin Up or Down - February 19, 12:55AM-1:00AM ET",05:55:00 UTC,06:00:00 UTC,66859.12,66871.35,12.23,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
5,2026-02-19T06:10:00.033802+00:00,btc-updown-5m-1771481100,"Bitcoin Up or Down - February 19, 1:05AM-1:10AM ET",06:05:00 UTC,06:10:00 UTC,66941.94,66952.65,10.71,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
6,2026-02-19T06:20:00.887755+00:00,btc-updown-5m-1771481700,"Bitcoin Up or Down - February 19, 1:15AM-1:20AM ET",06:15:00 UTC,06:20:00 UTC,66993.71,67116.89,123.18,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
7,2026-02-19T06:30:00.698451+00:00,btc-updown-5m-1771482300,"Bitcoin Up or Down - February 19, 1:25AM-1:30AM ET",06:25:00 UTC,06:30:00 UTC,67197.72,67176.84,-20.88,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
8,2026-02-19T06:40:00.566520+00:00,btc-updown-5m-1771482900,"Bitcoin Up or Down - February 19, 1:35AM-1:40AM ET",06:35:00 UTC,06:40:00 UTC,67138.07,67137.90,-0.17,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
9,2026-02-19T06:50:00.412697+00:00,btc-updown-5m-1771483500,"Bitcoin Up or Down - February 19, 1:45AM-1:50AM ET",06:45:00 UTC,06:50:00 UTC,67104.82,67138.00,33.18,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
10,2026-02-19T07:00:00.282124+00:00,btc-updown-5m-1771484100,"Bitcoin Up or Down - February 19, 1:55AM-2:00AM ET",06:55:00 UTC,07:00:00 UTC,67172.12,67150.12,-22.00,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.0000,100.0000,0.0
